"id_org";"nazwa";"rok_zalozenia";"miejscowosc";"id_kraju";"id_rodzaju";"id_statusu";"www";"email"
41;"Przegląd Katolicki  (Polish Catholic Review)";1978;"Miller";5;7;1;"www.australia.chrystusowcy.org";
42;"Puma Media - Polska Telewizja w Australii i Nowej Zelandii";2005;"Melbourne";5;7;1;"www.tvpolonia.com.au";"info@tvpolonia.com.au"
43;"Tygodnik Polski";1949;"Melbourne";5;7;1;"www.tygodnikpolski.com.au";"polishweek@optusnet.com.au"
44;"Australijski Instytut Badań Międzynarodowych";1992;"Cremorne";5;4;1;"www.researchinstitute.org.au";"info.eureka5@gmail.com"
45;"Australijski Instytut Spraw Polskich";1991;"Melbourne";5;4;1;"www.aipa.net.au";"secretary@aipa.net.au"
46;"Australijsko - Polskie Towarzystwo Historyczne (Australian Polish Historical Society) w Melbourne";2004;"Melbourne";5;1;2;"www.polishhistoricalsocjety.org.au";"info@polishhistoricalsociety.org.au"
47;"Centralny Dom Polski w Adelaide";1959;"Adelaide";5;4;1;"www.dompolski.com.au";"office@dompolski.com.au"
48;"Centralny Ośrodek Duszpasterstwa Polskiego (Polskie Centrum Katolickie im. Jana Pawła II) w Narrabundah (Canberra)";1993;"Narrabunadah";5;3;1;"www.tchr.org/australia";"ebudzilowicz@gmail.com"
49;"Centrum Polonijne Cracovia w Beechboro";1992;"Perth";5;4;1;"www.cracoviaclub.com.au";"office@cracoviaclub.com.au"
50;"Dom Kopernika w Athol Park";1973;"Athol Park";5;4;1;;"rchaustowski@gmail.com"
51;"Dom Polski Syrena w Rowville";1984;"Rowville";5;4;1;"http://polishclubrowville.org.au/";"secretary@polishclubrowville.org.au"
52;"EuroSkyMedia Polska Telewizja w Australii i Nowej Zelandii";2009;"Frenchs Forest";5;7;1;"www.eurosky.com.au";"info@eurosky.com.au"
53;"Federacja Organizacji Polskich w Południowej Australii";1968;"Adelaide";5;2;1;"www.polishfederation.org.au";"fedpolsa@polishfederation.org.au"
54;"Federacja Polskich Organizacji w Wiktorii (Melbourne - Oakleigh)";1962;"Oakleigh";5;2;1;"www.pccv.org.au";"executive@pccv.org.au"
55;"Fundacja Kresy-Syberia Oddział w Australii";2008;"Balmain";5;1;1;"www.kresy-siberia.org";"stefan.wisniowski@kresy-siberia.org"
56;"Fundusz Wieczysty Polonii Australijskiej  in. gen. Juliusza Kleeberga";1964;"Ashfield";5;1;1;"www.polishcouncil.org.au/index.php/fundusz-wieczysty";"prezesfw@polishcouncil.org.a"
57;"Klub Orła Białego (Polish Australian White Eagle Club) w Canberze (Turner)";1973;"Canberra";5;4;1;"www.whiteeagleclub.com.au";"whiteeagleclub.act@gmail.com"
58;"Klub piłki nożnej Western Eagles SC (dawniej KS Polonia)";1950;"Albion";5;1;1;"www.westerneaglesfc.com.au";"albionpolclub@gmail.com?"
59;"Klub Polski im. gen. Władysława Sikorskiego w Bellevue";1961;"Bellevue";5;4;1;"www.polishclubsikorski.com";"info@polishclubsikorski.com"
60;"Klub Polski w Ashfield";1967;"Ashfield";5;4;1;"www.polishclub.net.au";"polishclubltd@optusnet.com.au"
61;"Klub Sportowy Cracovia (Cracovia Club Inc.) w Beechboro";1950;"Perth";5;1;1;"www.cracoviaclub.com.au";"office@cracoviaclub.com.au"
62;"Klub Sportowy Polonia w Plumpton";1949;"Plumpton";5;1;1;"poloniasportsclub.com.au";
63;"Koło Polek w Australii Zachodniej";1973;"Maylands";5;1;1;"www.polishwomen.org.au";"kolopolek@iinet.net.au"
64;"Koło Polek w Hobart";1963;"New Town";5;1;1;"http://polishassociationhobart.org.au";
65;"Kosciuszko Heritage Inc.";2007;"Sydney";5;1;1;"www.kosciuszkoheritage.com/home.html";"office@kosciuszkoheritage.com"
66;"Kościół Najświętszej Marii Panny w Essendon (Melbourne) - Polskie Sanktuarium Maryjne";1973;"Essendon";5;3;1;"www.jezuici.org.au";"ludwik@westnet.com.au"
67;"Mount Kościuszko Inc";2003;"Huntingdale";5;1;1;"www.mtkosciuszko.org.au";"anna.habryn@mtkosciuszko.org.au"
68;"Muzeum i Archiwum Polonii Australijskiej (MAPA)";1991;"Melbourne";5;5;1;"www.polishmuseumarchives.org.au";"everth@netspace.net.au"
69;"Ośrodek Duszpasterstwa Polskiego na Gold Coast";1989;"Surfers Paradise";5;3;1;"www.tchr.org/australia";
70;"Ośrodek Duszpasterstwa Polskiego w Adelajdzie";1856;"Adelaide";5;3;1;"www.tchr.org/australia";"rectordms@gmail.com"
71;"Ośrodek Duszpasterstwa Polskiego w Ashfield - Kirribilli - Maroubra Bay";1949;"Ashfield";5;3;1;"www.tchr.org/australia";"duszpasterz.schr@gmail.com"
72;"Ośrodek Duszpasterstwa Polskiego w Bankstown - Minto - Liverpool";1949;"Bankstown";5;3;1;"www.tchr.org/australia";"antonidudek@hotmail.com"
73;"Ośrodek Duszpasterstwa Polskiego w Bell Park (Geelong)";1950;"Bell Park";5;3;1;"www.tchr.org/australia";"slowinski54@gmail.com"
74;"Ośrodek Duszpasterstwa Polskiego w Cabramatta - Fairfield";1952;"Cabramatta";5;3;1;"www.tchr.org/australia";"tadschr@iinet.net.au"
75;"Ośrodek Duszpasterstwa Polskiego w Hobart";1948;"Hobart";5;3;1;"www.tchr.org/australia";
76;"Ośrodek Duszpasterstwa Polskiego w Keysborough";1968;"Keysborough";5;3;1;"www.tchr.org/australia";"abotsc@gmail.com"
77;"Ośrodek Duszpasterstwa Polskiego w Marayong";1961;"Sydney";5;3;1;"www.tchr.org/australia";"henryk62@iinet.net.au"
78;"Ośrodek Duszpasterstwa Polskiego w Newcastle - Maitland - Gosford";1949;"Mayfield";5;3;1;"www.tchr.org/australia";"stanislawwrona@hotmail.com"
79;"Ośrodek Duszpasterstwa Polskiego w St. Albans";1954;"St Albans";5;3;1;"www.tchr.org/australia";"ksjozefm@gmail.com"
80;"Ośrodek Duszpasterstwa Polskiego w Wollongong";1949;"Wollongong";5;3;1;"www.tchr.org/australia";"tomasz.n@hotmail.com"
81;"OzPol Community Care Association Inc.";1997;"Brisbane";5;1;1;"www.ozpol.com.au";"care@ozpol.com.au"
82;"Perthidni - Perth Polish Parents & Party Group";2010;"Perth";5;7;1;"www.meetup.com/perthidni";
83;"Polish Australian Welfare Association (PAWA Community Care)";1974;"Ashfield";5;1;1;"www.polishwelfare.org.au";"manager@pawacc.org.au"
84;"Polish Hill River Church Museum (Sevenhill)";1999;"Polish Hill River";5;5;1;"www.phrcm.org.au";"irena@sosnowski.com.au"
85;"Polish Studies at Macquarie Uniwersity - Sydney";1964;"Sydney";5;4;1;"www.mq.edu.au";
86;"Polonijna Rada Sportowa Olompol";1997;"Ashfield";5;2;2;"www.olimpol.org";
87;"Polska Fundacja Artystyczna";1977;"Bentleigh";5;1;1;"www.polishartfoundation.org/";"polishartfoundation@gmail.com"
88;"Polska Grupa Motocyklowa Bracia Żelaznego Orła";2003;"Melbourne";5;1;1;"www.pgm.org.au";
89;"Polska Macierz Szkolna w Nowej Południowej Walii (Polish Educational Society in NSW Inc.)";1956;"Ashfield";5;1;1;"www.polisheducation.org.au";"macierz@polisheducation.org.au"
90;"Polska Misja Katolicka w Australii i Nowej Zelandii";1953;"Richmond";5;3;1;"www.tchr.org/australia";"slowik@optusnet.com.au"
91;"Polska Szkoła im. Tadeusza Kościuszki w South Melbourne";1956;"Melbourne";5;4;1;"www.pccv.org.au/schools/smelbourne";
92;"Polska Szkoła Przedmiotów Ojczystych w Phillip";1985;"Phillip";5;4;1;"www.polishschoolcanberra.org";"polishschoolcanberra@gmail.com"
93;"Polska Szkoła Sobotnia Dzielnic Północnych";1988;"North Ryde";5;4;1;"www.polisheducation.org.au/northryde.htm";"northshore@polisheducation.org.au"
94;"Polska Szkoła Sobotnia im. Adama Mickiewicza w Perth";1952;"Perth";5;4;1;"www.polska-szkola.com.au";"contact@polska-szkola.com.au"
95;"Polska Szkoła Sobotnia im. Kasjana Wolaka w Bowen Hills";1956;"Bowen Hills";5;4;1;"www.brisbanepolishschool.org.au";"principal@brisbanepolishschool.org.au"
96;"Polska Szkoła Sobotnia im. Marii Konopnickiej w Essendon";1953;"Essendon";5;4;1;"http://schools.pccv.org.au";
97;"Polska Szkoła Sobotnia im. Marszałka Józefa Piłsudskiego w Rowville";1956;"Rowville";5;4;1;"www.pccv.org.au/pl/schools/rowville/rowville.php";
98;"Polska Szkoła Sobotnia im. Mikołaja Kopernika w St Albans";1954;"St Albans";5;4;1;"www.pccv.org.au/schools/stalbans";
99;"Polska Szkoła Sobotnia im. prof. Jerzego Goebla w Ashfield";1954;"Ashfield";5;4;1;"www.polishschool.net.au";"polishschoolashfield@gmail.com"
100;"Polska Szkoła Sobotnia Podstawowa i Średnia im. Jana Pawła II w Albion";1993;"Albion";5;4;1;"www.jp2school.org.au";"polish.school.albion@tpg.com.au"
101;"Polska Szkoła Sobotnia w Marayong";1957;"Marayong";5;4;1;"www.polisheducation.org.au/marayong.htm";"marayong@polisheducation.org.au"
102;"Polska Szkoła w Liverpool";2001;"Liverpool";5;4;1;"www.polishschoolliverpool.org.au";"polishschoolliverpool@gmail.com"
103;"Polska Szkoła w Sydney (Randwick)";2004;"Sydney";5;4;1;"www.polishschool.org.au";"school@polishschool.org.au"
104;"Polski Instytut Historyczny (PIH) w Australii";1996;"Canberra";5;4;2;"http://polhistinst.org.au/";"director@polhistinst.org.au"
105;"Polski Klub Seniora w Rowville";1984;"Rowville";5;1;1;"http://polishclubrowville.org.au/";
106;"Polski Klub Seniorów w Australijskim Terytorium Stołecznym";2007;"Narrabunadah";5;1;1;"www.spkcanberra.org.au/strony/seniors.htm";"hmstawski@gmail.com"
107;"Polski Ośrodek Młodzieżowy Polana";1960;"Healesville";5;4;1;"www.polana.org.au";
108;"Polski Teatr Stary w Adelaide";1955;"Adelaide";5;5;1;"www.teatrstary.australink.pl/teatrstary";"info@teatrstary.kei.pl"
109;"Polski Zespół Folklorystyczny Podhale";2009;"Sydney";5;1;1;"www.podhale.org.au";"daniel@podhale.org.au"
110;"Polski Zespół Muzyki, Śpiewu i Tańca Tatry";1958;"Adelaide";5;1;1;"www.tatry.org.au";
111;"Polskie Radio Kurier (na 6 EBA FM 95.3)";1988;"Perth";5;7;1;"www.kurier.iinet.net.au/FS_Radio.html";
112;"Polskie Radio Sydney";2013;"Sydney";5;7;1;"www.polskieradiosydney.com.au";
113;"Polskie Towarzystwo Kulturalne w Południowej Australii";1984;"Adelaide";5;1;1;;"stankramarczuk2008@hotmail.com"
114;"Polsko - Australijski Kościół Adwentystów Dnia Siódmego w Melbourne (Dandenong)";1981;"Melbourne";5;3;1;"www.dandypolish.org.au";"contact@dandypolish.org.au"
115;"Polsko - Australijski Kościół Adwentystów Dnia Siódmego w Oakleigh";1969;"Oakleigh";5;3;1;;
116;"Polsko - Australijskie Towarzystwo Kulturalne w Australii Zachodniej";1997;"Mt. Hawthorn";5;1;1;"www.kurier.iinet.net.au/FS_Kultura.html";"polish@kurier.iinet.net.au"
117;"Polsko - Czeski Kościół Adwentystów Dnia Siódmego w Sydney (Pendle Hill)";1984;"Sydney";5;3;1;;
118;"Portal AustraLink.pl – Przegląd Australijski";2001;"Adelaide";5;7;1;"www.australink.pl";"biuro@australink.pl"
119;"Program Polskiego Komitetu Radiowego w Radio 5EBI (Multicultural Radio for Adelaide and South Australia) FM 103.1 MHz";1980;"Adelaide";5;7;1;"www.5ebi.com.au";"ebiradio@5ebi.com.au"
120;"Prowincja Matki Bożej Anielskiej Zakonu Braci Mniejszych (Franciszkanie) w Australii Zachodniej";1975;"Maylands";5;3;1;;"ofm2@excite.com"
121;"Rada Naczelna Polonii Australijskiej i Nowozelandzkiej";1950;"Sydney";5;2;1;"www.polioshcouncil.org.au";"president@polishcouncil.org.au"
122;"Rada Organizacji Polskich na Australijskie Terytorium Stołeczne";1984;"Canberra";5;2;1;"www.polesact.org.au";"plcouncilact@gmail.com"
123;"Rada Polonii w Zachodniej Australii";1950;"Perth";5;2;1;;"hszunejko@bigpond.com"
124;"Radio 4EB FM 98.1 MHz - Sekcja Polska";1980;"Brisbane";5;7;1;"www.polish.4eb.org.au";"polskieradio@4eb.org.au"
125;"Radio Głos Polonii (6 EBA 95.3 FM Radio) w Perth";1979;"Perth";5;7;1;"www.6eba.com.au";"wpszczol@bigpond.net.au"
126;"Radio Polonia PBA FM 89.7 MHz";1983;"Salisbury";5;7;1;"www.pbafm.org.au";"radiopoloniapba@optusnet.com.au"
127;"Sanktuarium Jasnogórskiej Matki Miłosierdzia w Berrima-Penrose Park";1988;"Berrima";5;3;1;"http://paulinefathers.org.au/";
128;"Sobotnia Szkoła Polska w Capalabie";1996;"Capalaba";5;4;2;"www.beddoes.w.interia.pl/capalaba.htm";
129;"Społeczny Fundusz Kulturalny w Południowej Australii";1984;"Greenacres";5;1;3;;
130;"Stowarzyszenie Australijskich Polaków Auspol";1989;"Ashfield";5;1;2;"www.ace.unsw.edu.au/auspol/";
131;"Stowarzyszenie Polaków Polonia w Quensland Inc.";1913;"Milton";5;2;1;"www.polonia.org.au";"club@polonia.org.au"
132;"Stowarzyszenie Polaków w Bunbury";2006;"Bunbury";5;1;2;"www.ocva.org.uk";
133;"Stowarzyszenie Polaków Wschodnich Dzielnic Melbourne";1974;"Rowville";5;1;1;"www.syrenapolishclub.org.au/edpa.htm";"skippyziggy@hotmail.com"
134;"Stowarzyszenie Polskich Kombatantów w Australii";1946;"Brisbane";5;1;1;"www.polish-spk-foundation.org.au";"info@polish-spk-foundation.org.au"
135;"Stowarzyszenie Polskich Profesjonalistów w Australii";1951;"Glen Waverley";5;1;1;"www.sppa.org.au";"sppa.sekretarz@gmail.com"
136;"Szkola 4 Today w South Melbourne";2012;"South Melbourne";5;4;1;"www.polishschool4today.com.au";
137;"Szkoła Polska przy Związku Polskim w Wollongong";1955;"Gwynneville";5;4;1;;"office@polishassociationwollongong.org.au"
138;"Szkoła Polska w Hobart";1954;"New Town";5;4;1;"www.polishassociationhobart.org.au";"polish.association.hobart@gmail.com"
139;"Teatr Fantazja w Roselands";2002;"Roselands";5;5;1;"www.teatrfantazja.org";"suru@optusnet.com.au"
140;"Teatr Ottoway w Athol Park";1980;"Athol Park";5;5;1;"www.polishfederation.org.au/PL/czlonkowie/teatr_ottoway.php";"maw4@hotmail.com"
141;"The Queen Jadwiga Foundation";2000;"Toorak";5;1;2;"www.qfpl.org";
142;"The Sydney Consort (Zespół muzyki dawnej)";1996;"Sydney";5;1;1;"www.sydneyconsort.com.au";"music@sydneyconsort.com.au"
143;"The Sydney Polish Language Meetup Group - Polacy w Sydney";2009;"Sydney";5;1;1;"www.meetup.com";
144;"Towarzystwo Chrystusowe dla Polonii Zagranicznej - Prowincja  Australijsko-Nowozelandzka pw. Świętej Rodziny";1959;"Narrabunadah";5;3;1;"www.tchr.org/australia";"SChrProv@tchr.org"
145;"Towarzystwo Przyjaciół Chopina Australia Inc. w Canberze";2011;"Canberra";5;1;1;"www.friendsofchopin.org.au";"wwhorky@gmail.com"
146;"Wydawnictwo Puma Press";1988;"Melbourne";5;7;1;"www.pumamedia.com.au";"info@pumamedia.com.au"
147;"Zakon św. Pawła Pierwszego Pustelnika (Paulini) w Australii";1981;"Berrima";5;3;1;"http://paulinefathers.org.au/";"paulinefathers@bigpond.com.au"
148;"Zespół Adria Nostalgia";2008;"Sydney";5;1;1;;"adrianostalgia@gmail.com"
149;"Zespół Pieśni i Tańca Kujawy";1976;"Bankstown";5;1;1;"www.kujawysydney.com";"jola@kujawysydney.com"
150;"Zespół Pieśni i Tańca Kukułeczka";1991;"Perth";5;1;1;"www.kukuleczka.org.au";"info@kukuleczka.org.au"
151;"Zespół Pieśni i Tańca Lajkonik";1990;"Avalon Beach";5;1;1;"www.lajkonik.com.au";"urszula.lang@lajkonik.com.au"
152;"Zespół Pieśni i Tańca Łowicz";1975;"Rowville";5;1;1;"www.lowiczmelbourne.org.au";"info@lowiczmelbourne.org.au"
153;"Zespół Pieśni i Tańca Obertas";1982;"Coopers Plains";5;1;1;"www.obertas.org.au";"info@obertas.org.au"
154;"Zespół Pieśni i Tańca Polonez w Melbourne";1965;"Melbourne";5;1;1;"www.polonez.org.au";"info@polonez.org.au"
155;"Zespół Pieśni i Tańca Syrenka";1968;"Ashfield";5;1;1;"www.syrenka.org.au";"syrenka@syrenka.org.au"
156;"Zespół Pieśni i Tańca Wawel";1963;"Wollongong";5;1;1;;"wawel.wollongong@gmail.com"
157;"Zespół Pieśni i Tańca Wielkopolska w Canberze (Turner)";1981;"Canberra";5;1;1;"www.wielkopolska.websyte.com.au";
158;"Zespół Pieśni i Tańca Wisła";2010;"Brisbane";5;1;1;"www.wisla.org.au";
159;"Związek Harcerstwa Polskiego - Okręg w Australii";1949;"Westleigh";5;1;1;"www.zhp.org.au";"info@zhp.org.au"
160;"Związek Polaków w Hobart";1950;"New Town";5;2;1;"http://polishassociationhobart.org.au";"polish.association.hobart@gmail.com"
161;"Związek Polski w Newcastle (Broadmeadow)";1952;"Broadmeadow";5;1;1;"www.polishassociationewcastle.org.au";"secretary@polishassociationnewcastle.org.au"
162;"Związek Polski w Wollongong";1956;"Gwynneville";5;1;1;;"bandhpatynowski@bigpond.com"
163;"Austriapol Magazyn Dialogu Miedzykulturowego (Portal internetowy)";2002;"Wiedeń";6;7;1;"www.austriapol.com";
164;"Elipsa.at  Internetowy serwis informacyjny";2014;"Wiedeń";6;7;1;"www.elipsa.at";"redakcja.elipsa@op.pl"
165;"Jupiter Magazyn Kulturalno-Informacyjny";2010;"Wiedeń";6;7;1;"www.jupiter-online.at";"jupiter.red@chello.at"
166;"Nasza Wspólnota Kwartalnik Duszpasterstwa Polonii w Wiedniu";2009;"Wiedeń";6;7;1;"www.kosciol.at/informacje/nasza-wspolnota/";"bezkres42@gmail.com"
167;"Polonika";1995;"Wiedeń";6;7;1;"www.polonika.at";"redakcja@polonika.at"
168;"Polski Klub w Wiedniu";2007;"Wiedeń";6;1;2;"www.polskiklub.at";
169;"Trzecia Zmiana";2001;"Wiedeń";6;1;1;"http://www.3zmiana.com";"office@3zmiana.com"
170;"Austriacko-Polskie Stowarzyszenie dla Popierania Sztuki i Czasu Wolnego Polonez";1989;"Wiedeń";6;1;1;"www.polonez.at";
171;"Austriacko-Polskie Stowarzyszenie Kulturalno-Informacyjne ipolen";2003;"Wiedeń";6;1;1;"www.ipolen.at";
172;"Centrum Kulturalne I love Polen";2009;"Wiedeń";6;1;1;;"olczykowski@chello.at"
173;"Europejska Federacja Polonijnych Stowarzyszeń Naukowo-Technicznych (SITPF)";2004;"Wiedeń";6;2;1;"www.vpivienna.org/federacja.php";
174;"Forum Polonii w Austrii (Wspólnota Polskich Organizacji w Austrii)";1991;"Wiedeń";6;2;1;"www.forumpolonii.at";
175;"Galeria Sztuki Meduna w Wiedniu";1994;"Wiedeń";6;5;1;"www.meduna.at.tt";"meduna@chello.at"
176;"iPolen.at – Forum i Portal Polonii w Austrii";2003;"Wiedeń";6;7;1;"www.polonia-w-austrii.at";
177;"Klasztor Franciszkanów (Prowincja św. Franciszka z Asyżu) w Bludenz";1991;"Bludenz";6;3;1;"http://www.franciszkanie.net/artykul/280,bludenz/";
178;"Klasztor Franciszkanów (Prowincja Wniebowzięcia NMP) w Bezau";1979;"Bezau";6;3;1;"http://www.prowincja.panewniki.pl";"franziskanerkloster.bezau@vol.at"
179;"Klub Kreatywnych Polskich Emerytów w Wiedniu i Dolnej Austrii Ostoja";2007;"Wiedeń";6;1;1;"www.klubostoja.jimdo.com";"ostojawien@interia.pl"
180;"Klub Profesorów przy Polskiej Akademii Nauk – Stacji Naukowej w Wiedniu";2004;"Wiedeń";6;1;1;"www.viennapan.org";
181;"Kongres Polonii w Austrii";2000;"Wiedeń";6;2;1;"www.kongrespolonii.eu";
182;"Passion Artists - Wiedeńskie Stowarzyszenie Kulturalne popierające artystów";2009;"Wiedeń";6;1;1;"http://www.passionartists.pl/";
183;"Pierwsza Społeczna Szkoła Polska w Austrii";2011;"Wiedeń";6;4;1;"www.uczymypolskiego.at";"szkola@uczymypolskiego.at"
184;"Polska Misja Katolicka w Austrii";1897;"Wiedeń";6;3;1;"www.kosciol.at";"polnischekirchewien@aon.at"
185;"Polska Parafia Podwyższenia Krzyża Świętego (Zmartwychwstańcy) w Wiedniu (Kościół Polski przy Rennwegu)";1897;"Wiedeń";6;3;1;"www.kosciol.at/kosciol-polski-2";"polnischekirchewien@gmail.com"
186;"Polski Zbór Wolnych Chrześcijan w Austrii";1990;"Wiedeń";6;3;1;"http://www.polskizborwieden.at";
187;"Polskie Radio w Górnej Austrii";2008;"Wilhering/Linz";6;7;1;"www.poloniaoberoesterreich.com/wp/pl/radio-polonia-2/";"radio@poloniaoberoesterreich.com"
188;"Polskie Stowarzyszenie Kulturalno-Oświatowe w Austrii";2012;"Wiedeń";6;1;1;"www.uczymypolskiego.at";
189;"Polskie Towarzystwo Medyczne w Austrii";1997;"Wiedeń";6;1;3;;"kjm@aon.at"
190;"Polskie Towarzystwo Sportowe w Austrii";1998;"Wiedeń";6;1;1;"www.pssportowe.org";
191;"Polsko - Austriacka Inicjatywa Współpracy Gospodarczej";2011;"Wiedeń";6;1;1;"http://paiwg.org/home";"office@paiwg.org"
192;"Polsko - Austriacki Klub Informacji i Kultury Sierpień 80";1981;"Wiedeń";6;1;1;"www.klubsierpien80.homepage.eu/";
193;"Polsko - Austriackie Stowarzyszenie Salzburg";1994;"Plainfeld";6;1;1;"www.polonia-salzburg.com";"kontakt@polonia-salzburg.com"
194;"Polsko - Austriackie Stowarzyszenie Informacyjno Integracyjne Elipsa.at";2014;"Wiedeń";6;1;1;"www.elipsa.at";
195;"Polsko - Austriackie Stowarzyszenie Kultury Pol-Ster";2010;"Wiedeń";6;1;1;"www.pol-ster.jimdo.com";"polster.wien@gmail.com"
196;"Polsko - Austriackie Towarzystwo Kulturalne Takt";2003;"Wiedeń";6;1;1;"www.taktkultur.at";
